dyad,country1_code,country2_code,year,geo_score,number_of_events,geo_score_dyn,cum_events,weight,geo_score_ma
ARG-AUS,ARG,AUS,1950,,0,0.0,0.0,0.0,
ARG-AUS,ARG,AUS,1951,,0,0.0,0.0,0.0,
ARG-AUS,ARG,AUS,1952,,0,0.0,0.0,0.0,
ARG-AUS,ARG,AUS,1953,,0,0.0,0.0,0.0,
ARG-AUS,ARG,AUS,1954,,0,0.0,0.0,0.0,
ARG-AUS,ARG,AUS,1955,,0,0.0,0.0,0.0,
ARG-AUS,ARG,AUS,1956,0.1,1,0.1,1.0,1.0,0.1
ARG-AUS,ARG,AUS,1957,,0,0.0699999999999999,0.7,0.0,0.1
ARG-AUS,ARG,AUS,1958,,0,0.0489999999999999,0.4899999999999999,0.0,0.1
ARG-AUS,ARG,AUS,1959,0.625,2,0.5406773367477593,2.343,0.8536064874093043,0.625
ARG-AUS,ARG,AUS,1960,,0,0.3784741357234314,1.6401,0.0,0.625
ARG-AUS,ARG,AUS,1961,0.8,1,0.5747088321144097,2.1480699999999997,0.4655341771916186,0.6833333333333332
ARG-AUS,ARG,AUS,1962,0.425,4,0.465901869959367,5.503648999999999,0.7267905347888284,0.5
ARG-AUS,ARG,AUS,1963,0.25,2,0.3921214797597008,5.8525542999999995,0.3417311309696008,0.4285714285714285
ARG-AUS,ARG,AUS,1964,0.35,1,0.3838571611972929,5.096788009999999,0.1962019997767182,0.3642857142857143
ARG-AUS,ARG,AUS,1965,,0,0.2687000128381051,3.567751606999999,0.0,0.2833333333333333
ARG-AUS,ARG,AUS,1966,,0,0.1880900089866735,2.497426124899999,0.0,0.35
ARG-AUS,ARG,AUS,1967,,0,0.1316630062906714,1.7481982874299993,0.0,
ARG-AUS,ARG,AUS,1968,,0,0.09216410440347,1.223738801200999,0.0,
ARG-AUS,ARG,AUS,1969,,0,0.064514873082429,0.8566171608406995,0.0,
ARG-AUS,ARG,AUS,1970,,0,0.0451604111577003,0.5996320125884896,0.0,
ARG-AUS,ARG,AUS,1971,,0,0.0316122878103902,0.4197424088119427,0.0,
ARG-AUS,ARG,AUS,1972,,0,0.0221286014672731,0.2938196861683599,0.0,
ARG-AUS,ARG,AUS,1973,,0,0.0154900210270912,0.2056737803178519,0.0,
ARG-AUS,ARG,AUS,1974,,0,0.0108430147189638,0.1439716462224963,0.0,
ARG-AUS,ARG,AUS,1975,,0,0.0075901103032746,0.1007801523557474,0.0,
ARG-AUS,ARG,AUS,1976,0.5,1,0.467551513776167,1.0705461066490232,0.934102691877659,0.5
ARG-AUS,ARG,AUS,1977,,0,0.3272860596433168,0.7493822746543162,0.0,0.5
ARG-AUS,ARG,AUS,1978,,0,0.2291002417503218,0.5245675922580213,0.0,0.5
ARG-AUS,ARG,AUS,1979,0.415,2,0.3861634127032791,2.367197314580615,0.8448809854933156,0.415
ARG-AUS,ARG,AUS,1980,-0.25,1,0.1467376371130311,2.6570381202064306,0.3763589210087464,0.1933333333333333
ARG-AUS,ARG,AUS,1981,,0,0.1027163459791218,1.8599266841445012,0.0,0.1933333333333333
ARG-AUS,ARG,AUS,1982,-0.6,2,-0.3229210059696537,3.3019486789011507,0.6057029331738664,-0.4833333333333333
ARG-AUS,ARG,AUS,1983,0.25,3,0.0006800489691893,5.311364075230806,0.5648266542281108,-0.09
ARG-AUS,ARG,AUS,1984,0.7,1,0.1489052806363172,4.717954852661563,0.2119562461340352,0.0416666666666666
ARG-AUS,ARG,AUS,1985,0.325,2,0.2153239314425406,5.302568396863094,0.3771757100168976,0.35
ARG-AUS,ARG,AUS,1986,0.525,2,0.3237577644256191,5.711797877804166,0.3501524463552755,0.4800000000000001
ARG-AUS,ARG,AUS,1987,0.475,2,0.3741864797634818,5.998258514462917,0.3334301106192119,0.4416666666666667
ARG-AUS,ARG,AUS,1988,0.625,4,0.496552729798157,8.198780960124042,0.4878774075627314,0.5625
ARG-AUS,ARG,AUS,1989,0.7,1,0.5267416068327688,6.739146672086829,0.1483867392502294,0.5928571428571429
ARG-AUS,ARG,AUS,1990,0.5833333333333333,3,0.5487406117766895,7.71740267046078,0.3887318218450405,0.61875
ARG-AUS,ARG,AUS,1991,0.4,1,0.5255078116450013,6.402181869322546,0.1561967498598749,0.57
ARG-AUS,ARG,AUS,1992,0.5333333333333333,3,0.5286457491404967,7.481527308525782,0.4009876428013925,0.5357142857142857
ARG-AUS,ARG,AUS,1993,0.65,3,0.5728438428377746,8.237069115968048,0.3642072146978009,0.5642857142857143
ARG-AUS,ARG,AUS,1994,0.7,1,0.5916373881027613,6.765948381177633,0.1477989401725153,0.6071428571428571
ARG-AUS,ARG,AUS,1995,0.6,2,0.5941202884782776,6.736163866824343,0.2969048912022486,0.6416666666666667
ARG-AUS,ARG,AUS,1996,0.5,3,0.557522835727995,7.71531470677704,0.3888370227289414,0.5666666666666667
ARG-AUS,ARG,AUS,1997,0.625,2,0.5757581321814842,7.400720294743928,0.2702439654989287,0.5642857142857143
ARG-AUS,ARG,AUS,1998,0.5625,4,0.5699814855470406,9.180504206320748,0.4357059165929048,0.5555555555555556
ARG-AUS,ARG,AUS,1999,0.675,2,0.5949076938712355,8.426352944424522,0.2373506086430124,0.60625
ARG-AUS,ARG,AUS,2000,0.4833333333333333,3,0.557291795353721,8.898447061097166,0.3371374779668695,0.5611111111111111
ARG-AUS,ARG,AUS,2001,0.65,2,0.5798241043697632,8.228912942768016,0.2430454683273446,0.5857142857142856
ARG-AUS,ARG,AUS,2002,,0,0.4058768730588342,5.760239059937611,0.0,0.55
ARG-AUS,ARG,AUS,2003,0.45,3,0.4247002847307573,7.0321673419563275,0.4266110082592843,0.53
ARG-AUS,ARG,AUS,2004,0.5333333333333333,3,0.4658360929688026,7.922517139369429,0.3786675304357595,0.4916666666666667
ARG-AUS,ARG,AUS,2005,0.6125,4,0.5272932745196135,9.5457619975586,0.4190341222652555,0.54
ARG-AUS,ARG,AUS,2006,0.35,3,0.4723585514424628,9.68203339829102,0.309852267244764,0.51
ARG-AUS,ARG,AUS,2007,0.2166666666666666,3,0.3939047886658281,9.777423378803713,0.3068293029535411,0.415
ARG-AUS,ARG,AUS,2008,0.5666666666666667,3,0.4465536403117243,9.8441963651626,0.3047480859500762,0.3777777777777777
ARG-AUS,ARG,AUS,2009,0.65,3,0.5082605393598438,9.89093745561382,0.3033079537164886,0.4777777777777777
ARG-AUS,ARG,AUS,2010,,0,0.3557823775518907,6.923656218929674,0.0,0.6083333333333334
ARG-AUS,ARG,AUS,2011,0.475,2,0.3906079348273137,6.846559353250771,0.2921175289381509,0.5800000000000001
ARG-AUS,ARG,AUS,2012,0.2333333333333333,3,0.3300601951415475,7.792591547275539,0.3849810402354356,0.3299999999999999
ARG-AUS,ARG,AUS,2013,0.0599999999999999,3,0.2342354286283768,8.454814083092877,0.3548274356498401,0.2287499999999999
ARG-AUS,ARG,AUS,2014,0.38,3,0.2832683484410166,8.918369858165015,0.3363843446404521,0.2244444444444444
ARG-AUS,ARG,AUS,2015,0.4833333333333333,3,0.3482044208320479,9.242858900715513,0.3245748996306503,0.3077777777777777
ARG-AUS,ARG,AUS,2016,0.45,2,0.3722411538614084,8.470001230500857,0.2361274745507603,0.4362499999999999
ARG-AUS,ARG,AUS,2017,0.5833333333333333,3,0.4431647149909551,8.9290008613506,0.3359838403628757,0.5125
ARG-AUS,ARG,AUS,2018,0.4075,4,0.4292471855945169,10.25030060294542,0.3902324580462159,0.4755555555555555
ARG-AUS,ARG,AUS,2019,0.4,3,0.4206241150982733,10.175210422061792,0.2948341975803694,0.458
ARG-AUS,ARG,AUS,2020,0.175,4,0.3322911459502177,11.122647295443254,0.3596266152967672,0.3209090909090909
ARG-AUS,ARG,AUS,2021,0.51,5,0.4017854740037471,12.785853106810276,0.3910572066041328,0.3708333333333333
ARG-AUS,ARG,AUS,2022,0.3166666666666666,3,0.380416909524587,11.950097174767194,0.2510439836702369,0.35
ARG-AUS,ARG,AUS,2023,0.3,3,0.3591895197632935,11.365068022337036,0.2639667438948685,0.4
ARG-AUS,ARG,AUS,2024,0.29,3,0.3402430858129143,10.955547615635924,0.2738338698577106,0.3022222222222221
ARG-AUT,ARG,AUT,1950,,0,0.0,0.0,0.0,
ARG-AUT,ARG,AUT,1951,,0,0.0,0.0,0.0,
ARG-AUT,ARG,AUT,1952,,0,0.0,0.0,0.0,
ARG-AUT,ARG,AUT,1953,,0,0.0,0.0,0.0,
ARG-AUT,ARG,AUT,1954,,0,0.0,0.0,0.0,
ARG-AUT,ARG,AUT,1955,,0,0.0,0.0,0.0,
ARG-AUT,ARG,AUT,1956,,0,0.0,0.0,0.0,
ARG-AUT,ARG,AUT,1957,0.7,1,0.7,1.0,1.0,0.7
ARG-AUT,ARG,AUT,1958,0.325,2,0.4222222222222222,2.7,0.7407407407407407,0.45
ARG-AUT,ARG,AUT,1959,,0,0.2955555555555555,1.89,0.0,0.45
ARG-AUT,ARG,AUT,1960,0.0,1,0.1683254412397761,2.323,0.4304778303917348,0.2166666666666666
ARG-AUT,ARG,AUT,1961,,0,0.1178278088678432,1.6261,0.0,0.0
ARG-AUT,ARG,AUT,1962,,0,0.0824794662074903,1.13827,0.0,0.0
ARG-AUT,ARG,AUT,1963,,0,0.0577356263452432,0.7967889999999999,0.0,
ARG-AUT,ARG,AUT,1964,,0,0.0404149384416702,0.5577522999999999,0.0,
ARG-AUT,ARG,AUT,1965,,0,0.0282904569091691,0.3904266099999999,0.0,
ARG-AUT,ARG,AUT,1966,,0,0.0198033198364184,0.2732986269999999,0.0,
ARG-AUT,ARG,AUT,1967,,0,0.0138623238854928,0.1913090388999999,0.0,
ARG-AUT,ARG,AUT,1968,,0,0.009703626719845,0.1339163272299999,0.0,
ARG-AUT,ARG,AUT,1969,,0,0.0067925387038915,0.0937414290609999,0.0,
ARG-AUT,ARG,AUT,1970,,0,0.004754777092724,0.0656190003426999,0.0,
ARG-AUT,ARG,AUT,1971,,0,0.0033283439649068,0.0459333002398899,0.0,
ARG-AUT,ARG,AUT,1972,,0,0.0023298407754347,0.0321533101679229,0.0,
ARG-AUT,ARG,AUT,1973,,0,0.0016308885428043,0.022507317117546,0.0,
ARG-AUT,ARG,AUT,1974,,0,0.001141621979963,0.0157551219822822,0.0,
ARG-AUT,ARG,AUT,1975,,0,0.0007991353859741,0.0110285853875975,0.0,
ARG-AUT,ARG,AUT,1976,-0.92,1,-0.9129458795561533,1.0077200097713184,0.9923391322029318,-0.92
ARG-AUT,ARG,AUT,1977,0.175,2,-0.1086697885874402,2.705404006839923,0.7392611214234587,-0.1899999999999999
ARG-AUT,ARG,AUT,1978,-0.4,1,-0.2093443143087679,2.893782804787946,0.3455684367000305,-0.2425
ARG-AUT,ARG,AUT,1979,-0.5,1,-0.3054082613415443,3.025647963351562,0.3305077167312891,-0.1375
ARG-AUT,ARG,AUT,1980,0.6,1,-0.015022840342635,3.1179535743460933,0.320723184664391,-0.1
ARG-AUT,ARG,AUT,1981,,0,-0.0105159882398445,2.1825675020422652,0.0,0.0499999999999999
ARG-AUT,ARG,AUT,1982,-0.55,2,-0.3163635034515182,3.5277972514295857,0.5669260043755436,-0.1666666666666667
ARG-AUT,ARG,AUT,1983,,0,-0.2214544524160627,2.4694580760007097,0.0,-0.55
ARG-AUT,ARG,AUT,1984,,0,-0.1550181166912439,1.7286206532004966,0.0,-0.55
ARG-AUT,ARG,AUT,1985,0.2,1,0.0056210604619268,2.2100344572403476,0.4524816329102362,0.2
ARG-AUT,ARG,AUT,1986,0.425,2,0.2420891110541537,3.5470241200682433,0.5638529461033157,0.35
ARG-AUT,ARG,AUT,1987,,0,0.1694623777379076,2.48291688404777,0.0,0.35
